,movieID,dialog_id,dialog,speakers,movie_title,movie_genres,emotion
20,m0,6,How is our little Find the Wench A Date plan progressing?,BIANCA,10 things i hate about you,comedy,optimism
21,m0,6,Well there's someone I think might be --,CAMERON,10 things i hate about you,comedy,optimism
22,m0,7,There.,CAMERON,10 things i hate about you,comedy,optimism
23,m0,7,Where?,BIANCA,10 things i hate about you,comedy,optimism
24,m0,8,You got something on your mind?,CAMERON,10 things i hate about you,comedy,sadness
25,m0,8,I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,BIANCA,10 things i hate about you,comedy,joy
26,m0,9,You have my word.  As a gentleman,CAMERON,10 things i hate about you,comedy,joy
27,m0,9,You're sweet.,BIANCA,10 things i hate about you,comedy,optimism
28,m0,10,How do you get your hair to look like that?,CAMERON,10 things i hate about you,comedy,optimism
29,m0,10,Eber's Deep Conditioner every two days. And I never ever use a blowdryer without the diffuser attachment.,BIANCA,10 things i hate about you,comedy,joy
30,m0,11,Sure have.,CAMERON,10 things i hate about you,comedy,sadness
31,m0,11,I really really really wanna go but I can't.  Not unless my sister goes.,BIANCA,10 things i hate about you,comedy,sadness
32,m0,11,I'm workin' on it. But she doesn't seem to be goin' for him.,CAMERON,10 things i hate about you,comedy,sadness
33,m0,12,She's not a...,CAMERON,10 things i hate about you,comedy,sadness
34,m0,12,Lesbian?  No. I found a picture of Jared Leto in one of her drawers so I'm pretty sure she's not harboring same-sex tendencies.,BIANCA,10 things i hate about you,comedy,optimism
35,m0,12,So that's the kind of guy she likes? Pretty ones?,CAMERON,10 things i hate about you,comedy,optimism
36,m0,12,Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.,BIANCA,10 things i hate about you,comedy,joy
37,m0,13,Hi.,BIANCA,10 things i hate about you,comedy,optimism
38,m0,13,Looks like things worked out tonight huh?,CAMERON,10 things i hate about you,comedy,optimism
39,m0,14,You know Chastity?,BIANCA,10 things i hate about you,comedy,optimism
40,m0,14,I believe we share an art instructor,CAMERON,10 things i hate about you,comedy,optimism
41,m0,15,Have fun tonight?,CAMERON,10 things i hate about you,comedy,optimism
42,m0,15,Tons,BIANCA,10 things i hate about you,comedy,optimism
43,m0,16,"I looked for you back at the party but you always seemed to be """"occupied"""".""",CAMERON,10 things i hate about you,comedy,sadness
44,m0,16,I was?,BIANCA,10 things i hate about you,comedy,sadness
45,m0,16,You never wanted to go out with 'me did you?,CAMERON,10 things i hate about you,comedy,sadness
46,m0,17,Well no...,BIANCA,10 things i hate about you,comedy,sadness
47,m0,17,Then that's all you had to say.,CAMERON,10 things i hate about you,comedy,joy
48,m0,17,But,BIANCA,10 things i hate about you,comedy,optimism
49,m0,17,You always been this selfish?,CAMERON,10 things i hate about you,comedy,joy
50,m0,18,"Then Guillermo says """"If you go any lighter you're gonna look like an extra on 90210.""""""",BIANCA,10 things i hate about you,comedy,optimism
51,m0,18,No...,CAMERON,10 things i hate about you,comedy,sadness
52,m0,19,do you listen to this crap?,BIANCA,10 things i hate about you,comedy,joy
53,m0,19,What crap?,CAMERON,10 things i hate about you,comedy,joy
54,m0,19,Me.  This endless ...blonde babble. I'm like boring myself.,BIANCA,10 things i hate about you,comedy,sadness
55,m0,19,Thank God!  If I had to hear one more story about your coiffure...,CAMERON,10 things i hate about you,comedy,anger
56,m0,20,I figured you'd get to the good stuff eventually.,CAMERON,10 things i hate about you,comedy,anger
57,m0,20,What good stuff?,BIANCA,10 things i hate about you,comedy,optimism
58,m0,20,"The """"real you"""".""",CAMERON,10 things i hate about you,comedy,optimism
59,m0,20,Like my fear of wearing pastels?,BIANCA,10 things i hate about you,comedy,sadness
60,m0,21,"I'm kidding.  You know how sometimes you just become this """"persona""""?  And you don't know how to quit?""",BIANCA,10 things i hate about you,comedy,joy
61,m0,21,No,CAMERON,10 things i hate about you,comedy,optimism
62,m0,21,Okay -- you're gonna need to learn how to lie.,BIANCA,10 things i hate about you,comedy,joy
63,m0,22,Wow,CAMERON,10 things i hate about you,comedy,optimism
64,m0,22,Let's go.,BIANCA,10 things i hate about you,comedy,anger
65,m0,23,She okay?,CAMERON,10 things i hate about you,comedy,sadness
66,m0,23,I hope so.,BIANCA,10 things i hate about you,comedy,anger
67,m0,24,They do to!,CAMERON,10 things i hate about you,comedy,joy
68,m0,24,They do not!,BIANCA,10 things i hate about you,comedy,joy
69,m0,25,Did you change your hair?,BIANCA,10 things i hate about you,comedy,optimism
70,m0,25,No.,CHASTITY,10 things i hate about you,comedy,optimism
71,m0,25,You might wanna think about it,BIANCA,10 things i hate about you,comedy,anger
72,m0,26,Where did he go?  He was just here.,BIANCA,10 things i hate about you,comedy,sadness
73,m0,26,Who?,CHASTITY,10 things i hate about you,comedy,optimism
74,m0,26,Joey.,BIANCA,10 things i hate about you,comedy,optimism
75,m0,27,Great,CHASTITY,10 things i hate about you,comedy,optimism
76,m0,27,Would you mind getting me a drink Cameron?,BIANCA,10 things i hate about you,comedy,optimism
77,m0,28,He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all but he's not exactly relevant party conversation.,BIANCA,10 things i hate about you,comedy,optimism
78,m0,28,Is he oily or dry?,CHASTITY,10 things i hate about you,comedy,sadness
79,m0,28,Combination.  I don't know -- I thought he'd be different.  More of a gentleman...,BIANCA,10 things i hate about you,comedy,optimism
80,m0,29,Bianca I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.,CHASTITY,10 things i hate about you,comedy,optimism
81,m0,29,Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?,BIANCA,10 things i hate about you,comedy,sadness
82,m0,29,All I know is -- I'd give up my private line to go out with a guy like Joey.,CHASTITY,10 things i hate about you,comedy,optimism
83,m0,30,I have to be home in twenty minutes.,BIANCA,10 things i hate about you,comedy,sadness
84,m0,30,I don't have to be home 'til two.,CHASTITY,10 things i hate about you,comedy,sadness
85,m0,31,You think you ' re the only sophomore at the prom?,CHASTITY,10 things i hate about you,comedy,sadness
86,m0,31,I did.,BIANCA,10 things i hate about you,comedy,anger
87,m0,32,It's more,JOEY,10 things i hate about you,comedy,optimism
88,m0,32,Expensive?,BIANCA,10 things i hate about you,comedy,sadness
89,m0,33,Exactly  So you going to Bogey Lowenbrau's thing on Saturday?,JOEY,10 things i hate about you,comedy,optimism
90,m0,33,Hopefully.,BIANCA,10 things i hate about you,comedy,optimism
91,m0,34,"So yeah I've got the Sears catalog thing going -- and the tube sock gig """" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.""",JOEY,10 things i hate about you,comedy,optimism
92,m0,34,Queen Harry?,BIANCA,10 things i hate about you,comedy,optimism
93,m0,34,It's a gay cruise line but I'll be like wearing a uniform and stuff.,JOEY,10 things i hate about you,comedy,optimism
94,m0,35,Neat...,BIANCA,10 things i hate about you,comedy,optimism
95,m0,35,My agent says I've got a good shot at being the Prada guy next year.,JOEY,10 things i hate about you,comedy,optimism
96,m0,36,Hey sweet cheeks.,JOEY,10 things i hate about you,comedy,optimism
97,m0,36,Hi Joey.,BIANCA,10 things i hate about you,comedy,optimism
98,m0,36,You're concentrating awfully hard considering it's gym class.,JOEY,10 things i hate about you,comedy,sadness
99,m0,37,Listen I want to talk to you about the prom.,JOEY,10 things i hate about you,comedy,optimism
100,m0,37,You know the deal.  I can ' t go if Kat doesn't go --,BIANCA,10 things i hate about you,comedy,joy
101,m0,38,Where've you been?,KAT,10 things i hate about you,comedy,sadness
102,m0,38,Nowhere... Hi Daddy.,BIANCA,10 things i hate about you,comedy,sadness
103,m0,39,I have the potential to smack the crap out of you if you don't get out of my way.,KAT,10 things i hate about you,comedy,joy
104,m0,39,Can you at least start wearing a bra?,BIANCA,10 things i hate about you,comedy,anger
105,m0,40,Oh my God does this mean you're becoming normal?,BIANCA,10 things i hate about you,comedy,optimism
106,m0,40,It means that Gigglepuss is playing at Club Skunk and we're going.,KAT,10 things i hate about you,comedy,optimism
107,m0,40,Oh I thought you might have a date  I don't know why I'm bothering to ask but are you going to Bogey Lowenstein's party Saturday night?,BIANCA,10 things i hate about you,comedy,optimism
108,m0,40,What do you think?,KAT,10 things i hate about you,comedy,sadness
109,m0,40,I think you're a freak.  I think you do this to torture me.  And I think you suck.,BIANCA,10 things i hate about you,comedy,joy
110,m0,41,You're ruining my life'  Because you won't be normal I can't be normal.,BIANCA,10 things i hate about you,comedy,joy
111,m0,41,What's normal?,KAT,10 things i hate about you,comedy,sadness
112,m0,41,Bogey Lowenstein's party is normal but you're too busy listening to Bitches Who Need Prozac to know that.,BIANCA,10 things i hate about you,comedy,joy
113,m0,42,Can't you forget for just one night that you're completely wretched?,BIANCA,10 things i hate about you,comedy,sadness
114,m0,42,At least I'm not a clouted fen- sucked hedge-pig.,KAT,10 things i hate about you,comedy,optimism
115,m0,43,Like I'm supposed to know what that even means.,BIANCA,10 things i hate about you,comedy,joy
116,m0,43,It's Shakespeare.  Maybe you've heard of him?,KAT,10 things i hate about you,comedy,optimism
117,m0,43,Yeah he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out I should obsess over a dead guy too.,BIANCA,10 things i hate about you,comedy,sadness
118,m0,44,You are so completely unbalanced.,BIANCA,10 things i hate about you,comedy,joy
119,m0,44,Can we go now?,KAT,10 things i hate about you,comedy,optimism
120,m0,45,Bianca I need to talk to you -- I need to tell you --,KAT,10 things i hate about you,comedy,sadness
121,m0,45,I really don't think I need any social advice from you right now.,BIANCA,10 things i hate about you,comedy,sadness
122,m0,46,I don't get you.  You act like you're too good for any of this and then you go totally apeshit when you get here.,BIANCA,10 things i hate about you,comedy,joy
123,m0,46,You're welcome.,KAT,10 things i hate about you,comedy,optimism
124,m0,47,Listen I know you hate having to sit home because I'm not Susie High School.,KAT,10 things i hate about you,comedy,joy
125,m0,47,Like you care.,BIANCA,10 things i hate about you,comedy,sadness
126,m0,47,I do care. But I'm a firm believer in doing something for your own reasons not someone else ' s .,KAT,10 things i hate about you,comedy,anger
127,m0,47,I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go because you won ' t.,BIANCA,10 things i hate about you,comedy,sadness
128,m0,48,Joey never told you we went out did he?,KAT,10 things i hate about you,comedy,sadness
129,m0,48,What?,BIANCA,10 things i hate about you,comedy,optimism
130,m0,48,In 9th.  For a month,KAT,10 things i hate about you,comedy,optimism
131,m0,48,Why?,BIANCA,10 things i hate about you,comedy,optimism
132,m0,48,He was like a total babe,KAT,10 things i hate about you,comedy,optimism
133,m0,48,But you hate Joey,BIANCA,10 things i hate about you,comedy,joy
134,m0,48,Now I do.  Back then was a different story.,KAT,10 things i hate about you,comedy,anger
135,m0,48,As in...,BIANCA,10 things i hate about you,comedy,optimism
136,m0,49,He said everyone was doing it.  So I did it.,KAT,10 things i hate about you,comedy,anger
137,m0,49,You did what?,BIANCA,10 things i hate about you,comedy,joy
138,m0,49,Just once.  Afterwards I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.,KAT,10 things i hate about you,comedy,joy
139,m0,50,But,BIANCA,10 things i hate about you,comedy,optimism
140,m0,50,"After that I swore I'd never do anything just because """"everyone else"""" was doing it.  And I haven't since. Except for Bogey's party and my stunning gastro-intestinal display --""",KAT,10 things i hate about you,comedy,joy
141,m0,50,Why didn't you tell me?,BIANCA,10 things i hate about you,comedy,joy
142,m0,50,I wanted to let you make up your own mind about him.,KAT,10 things i hate about you,comedy,sadness
143,m0,50,No. you didn't!  If you really thought I could make my own decisions you would've let me go out with him instead of helping Daddy hold me hostage.,BIANCA,10 things i hate about you,comedy,joy
144,m0,51,That's not,KAT,10 things i hate about you,comedy,joy
145,m0,51,I'm not stupid enough to repeat your mistakes.,BIANCA,10 things i hate about you,comedy,sadness
146,m0,51,I guess I thought I was protecting you.,KAT,10 things i hate about you,comedy,sadness
147,m0,51,God you're just like him! Just keep me locked away in the dark so I can't experience anything for myself,BIANCA,10 things i hate about you,comedy,sadness
148,m0,51,Not all experiences are good Bianca. You can't always trust the people you want to.,KAT,10 things i hate about you,comedy,sadness
149,m0,51,I guess I'll never know will I?,BIANCA,10 things i hate about you,comedy,sadness
150,m0,52,You looked beautiful last night you know.,BIANCA,10 things i hate about you,comedy,optimism
151,m0,52,So did you,KAT,10 things i hate about you,comedy,optimism
152,m0,53,Let go!,BIANCA,10 things i hate about you,comedy,sadness
153,m0,53,You set me up.,KAT,10 things i hate about you,comedy,joy
154,m0,53,I just wanted --,BIANCA,10 things i hate about you,comedy,sadness
155,m0,53,What? To completely damage me?  To send me to therapy forever? What?,KAT,10 things i hate about you,comedy,joy
156,m0,53,No! I just wanted,BIANCA,10 things i hate about you,comedy,joy
157,m0,54,Is that woman a complete fruit-loop or is it just me?,BIANCA,10 things i hate about you,comedy,sadness
158,m0,54,It's just you.,KAT,10 things i hate about you,comedy,sadness
159,m0,55,Patrick -- is that- a.,BIANCA,10 things i hate about you,comedy,optimism
160,m0,55,Perm?,KAT,10 things i hate about you,comedy,optimism
161,m0,56,Now don't get upset. Daddy but there's this boy... and I think he might ask...,BIANCA,10 things i hate about you,comedy,joy
162,m0,56,No! You're not dating until your sister starts dating.  End of discussion.,WALTER,10 things i hate about you,comedy,joy
163,m0,56,What if she never starts dating?,BIANCA,10 things i hate about you,comedy,sadness
164,m0,56,Then neither will you.  And I'll get to sleep at night.,WALTER,10 things i hate about you,comedy,sadness
165,m0,56,But it's not fair -- she's a mutant Daddy!,BIANCA,10 things i hate about you,comedy,joy
166,m0,57,But she doesn't want to date.,BIANCA,10 things i hate about you,comedy,sadness
167,m0,57,Exactly my point,WALTER,10 things i hate about you,comedy,joy
168,m0,58,Daddy I --,BIANCA,10 things i hate about you,comedy,optimism
169,m0,58,And where're you going?,WALTER,10 things i hate about you,comedy,joy
170,m0,58,If you must know we were attempting to go to a small study group of friends.,BIANCA,10 things i hate about you,comedy,optimism
171,m0,58,Otherwise known as an orgy?,WALTER,10 things i hate about you,comedy,optimism
172,m0,58,"It's just a party. Daddy but I knew you'd forbid me to go since """"Gloria Steinem"""" over there isn't going --""",BIANCA,10 things i hate about you,comedy,optimism
173,m0,59,Daddy people expect me to be there!,BIANCA,10 things i hate about you,comedy,joy
174,m0,59,If Kat's not going you're not going.,WALTER,10 things i hate about you,comedy,anger
175,m0,60,Oh God.  It's starting.,WALTER,10 things i hate about you,comedy,optimism
176,m0,60,It's just a party. Daddy.,BIANCA,10 things i hate about you,comedy,optimism
177,m0,61,Wear the belly before you go.,WALTER,10 things i hate about you,comedy,anger
178,m0,61,Daddy no!,BIANCA,10 things i hate about you,comedy,joy
179,m0,61,Just for a minute,WALTER,10 things i hate about you,comedy,sadness
180,m0,62,Promise me you won't talk to any boys unless your sister is present.,WALTER,10 things i hate about you,comedy,joy
181,m0,62,Why?,BIANCA,10 things i hate about you,comedy,optimism
182,m0,62,Because she'll scare them away.,WALTER,10 things i hate about you,comedy,joy
183,m0,63,Daddy I want to discuss the prom with you. It's tomorrow night --,BIANCA,10 things i hate about you,comedy,optimism
184,m0,63,The prom?  Kat has a date?,WALTER,10 things i hate about you,comedy,optimism
185,m0,63,No but,BIANCA,10 things i hate about you,comedy,sadness
186,m0,63,It's that hot rod Joey right? That ' s who you want me to bend my rules for?,WALTER,10 things i hate about you,comedy,joy
187,m0,63,"He's not a """"hot rod"""".  Whatever that is.""",BIANCA,10 things i hate about you,comedy,joy
188,m0,63,You're not going unless your sister goes.  End of story.,WALTER,10 things i hate about you,comedy,joy
189,m0,63,Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!,BIANCA,10 things i hate about you,comedy,joy
190,m0,64,I'm missing something.,WALTER,10 things i hate about you,comedy,sadness
191,m0,64,I have a date Daddy.  And he ' s not a captain of oppression like some men we know.,BIANCA,10 things i hate about you,comedy,optimism
192,m0,65,Always a pleasure Brucie.,PATRICK,10 things i hate about you,comedy,optimism
193,m0,65,Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,BRUCE,10 things i hate about you,comedy,optimism
194,m0,65,Fan of a fan.  You see a couple of minors come in?,PATRICK,10 things i hate about you,comedy,optimism
195,m0,65,Never,BRUCE,10 things i hate about you,comedy,optimism
196,m0,65,Padua girls.  One tall decent body. The other one kinda short and undersexed?,PATRICK,10 things i hate about you,comedy,optimism
197,m0,65,Just sent 'em through.,BRUCE,10 things i hate about you,comedy,joy
198,m0,66,You the new guy?,MICHAEL,10 things i hate about you,comedy,optimism
199,m0,66,So they tell me...,CAMERON,10 things i hate about you,comedy,sadness
200,m0,66,C'mon.  I'm supposed to give you the tour.,MICHAEL,10 things i hate about you,comedy,joy
201,m0,67,So -- which Dakota you from?,MICHAEL,10 things i hate about you,comedy,optimism
202,m0,67,North actually.  How'd you   ?,CAMERON,10 things i hate about you,comedy,optimism
203,m0,67,I was kidding. People actually live there?,MICHAEL,10 things i hate about you,comedy,optimism
204,m0,67,Yeah.  A couple.  We're outnumbered by the cows though.,CAMERON,10 things i hate about you,comedy,optimism
205,m0,67,How many people were in your old school?,MICHAEL,10 things i hate about you,comedy,sadness
206,m0,67,Thirty-two.,CAMERON,10 things i hate about you,comedy,optimism
207,m0,67,Get out!,MICHAEL,10 things i hate about you,comedy,joy
208,m0,67,How many people go here?,CAMERON,10 things i hate about you,comedy,sadness
209,m0,67,Couple thousand. Most of them evil,MICHAEL,10 things i hate about you,comedy,joy
210,m0,68,That I'm used to.,CAMERON,10 things i hate about you,comedy,sadness
211,m0,68,Yeah but these guys have never seen a horse.  They just jack off to Clint Eastwood.,MICHAEL,10 things i hate about you,comedy,joy
212,m0,69,That girl -- I --,CAMERON,10 things i hate about you,comedy,sadness
213,m0,69,You burn you pine you perish?,MICHAEL,10 things i hate about you,comedy,sadness
214,m0,69,Who is she?,CAMERON,10 things i hate about you,comedy,optimism
215,m0,69,Bianca Stratford.  Sophomore. Don't even think about it,MICHAEL,10 things i hate about you,comedy,sadness
216,m0,69,Why not?,CAMERON,10 things i hate about you,comedy,optimism
217,m0,69,I could start with your haircut but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.,MICHAEL,10 things i hate about you,comedy,joy
218,m0,70,Why do girls like that always like guys like that?,CAMERON,10 things i hate about you,comedy,joy
219,m0,70,Because they're bred to.  Their mothers liked guys like that and their grandmothers before them. Their gene pool is rarely diluted.,MICHAEL,10 things i hate about you,comedy,anger
220,m0,70,He always have that shit-eating grin?,CAMERON,10 things i hate about you,comedy,joy
221,m0,70,Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron but he's number twelve in the class.  And a model.  Mostly regional stuff but he's rumored to have a big tube sock ad coming out.,MICHAEL,10 things i hate about you,comedy,joy
222,m0,71,You know French?,MICHAEL,10 things i hate about you,comedy,optimism
223,m0,71,Sure do ... my Mom's from Canada,CAMERON,10 things i hate about you,comedy,optimism
224,m0,71,Guess who just signed up for a tutor?,MICHAEL,10 things i hate about you,comedy,optimism
225,m0,71,You mean I'd get a chance to talk to her?,CAMERON,10 things i hate about you,comedy,joy
226,m0,71,You could consecrate with her my friend.,MICHAEL,10 things i hate about you,comedy,anger
227,m0,72,Yeah just a minor encounter with the shrew.,MICHAEL,10 things i hate about you,comedy,sadness
228,m0,72,That's her?  Bianca's sister?,CAMERON,10 things i hate about you,comedy,optimism
229,m0,72,The mewling rampalian wretch herself.,MICHAEL,10 things i hate about you,comedy,joy
230,m0,73,I teach her French get to know her dazzle her with charm and she falls in love with me.,CAMERON,10 things i hate about you,comedy,optimism
231,m0,73,Unlikely but even so she still can't go out with you.  So what's the point?,MICHAEL,10 things i hate about you,comedy,joy
232,m0,74,What about him?,CAMERON,10 things i hate about you,comedy,sadness
233,m0,74,You wanna go out with him?,MICHAEL,10 things i hate about you,comedy,optimism
234,m0,75,What makes you think he'll do it?,MICHAEL,10 things i hate about you,comedy,joy
235,m0,75,He seems like he thrives on danger,CAMERON,10 things i hate about you,comedy,joy
236,m0,75,No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...,MICHAEL,10 things i hate about you,comedy,joy
237,m0,75,They always let felons sit in on Honors Biology?,CAMERON,10 things i hate about you,comedy,joy
238,m0,75,I'm serious man he's whacked.  He sold his own liver on the black market so he could buy new speakers.,MICHAEL,10 things i hate about you,comedy,joy
239,m0,75,Forget his reputation.  Do you think we've got a plan or not?,CAMERON,10 things i hate about you,comedy,joy
240,m0,75,Did she actually say she'd go out with you?,MICHAEL,10 things i hate about you,comedy,optimism
241,m0,75,That's what I just said,CAMERON,10 things i hate about you,comedy,joy
242,m0,76,You know if you do go out with Bianca you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.,MICHAEL,10 things i hate about you,comedy,anger
243,m0,76,I thought you hated those people.,CAMERON,10 things i hate about you,comedy,joy
244,m0,76,Hey -- I've gotta have a few clients when I get to Wall Street.,MICHAEL,10 things i hate about you,comedy,anger
245,m0,77,You got him involved?,CAMERON,10 things i hate about you,comedy,joy
246,m0,77,Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle you're in a position of power. We let him pretend he's calling the shots and while he's busy setting up the plan you have time to woo Bianca.,MICHAEL,10 things i hate about you,comedy,joy
247,m0,78,This is it.  A golden opportunity. Patrick can ask Katarina to the party.,CAMERON,10 things i hate about you,comedy,anger
248,m0,78,In that case we'll need to make it a school-wide blow out.,MICHAEL,10 things i hate about you,comedy,joy
249,m0,78,Will Bogey get bent?,CAMERON,10 things i hate about you,comedy,joy
250,m0,78,Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.,MICHAEL,10 things i hate about you,comedy,optimism
251,m0,79,Number one.  She hates smokers,CAMERON,10 things i hate about you,comedy,joy
252,m0,79,It's a lung cancer issue,MICHAEL,10 things i hate about you,comedy,sadness
253,m0,79,Her favorite uncle,CAMERON,10 things i hate about you,comedy,optimism
254,m0,79,Dead at forty-one.,MICHAEL,10 things i hate about you,comedy,sadness
255,m0,80,He's pretty!,MICHAEL,10 things i hate about you,comedy,optimism
256,m0,80,Okay!  I wasn't sure,CAMERON,10 things i hate about you,comedy,sadness
257,m0,81,Assail your ears for one night.,MICHAEL,10 things i hate about you,comedy,sadness
258,m0,81,It's her favorite band.,CAMERON,10 things i hate about you,comedy,optimism
259,m0,82,You told me that part already.,MICHAEL,10 things i hate about you,comedy,optimism
260,m0,82,Hell I've just been going over the whole thing in my head and -,CAMERON,10 things i hate about you,comedy,sadness
261,m0,83,Extremely unfortunate maneuver.,MICHAEL,10 things i hate about you,comedy,joy
262,m0,83,The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?,CAMERON,10 things i hate about you,comedy,joy
263,m0,83,Buttholus extremus.  But hey you're making progress.,MICHAEL,10 things i hate about you,comedy,anger
264,m0,83,No I ' m not.,CAMERON,10 things i hate about you,comedy,sadness
265,m0,84,You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,CAMERON,10 things i hate about you,comedy,joy
266,m0,84,Best case scenario you're back on the payroll for awhile.,MICHAEL,10 things i hate about you,comedy,joy
267,m0,85,And he means that strictly in a non- prison-movie type of way.,CAMERON,10 things i hate about you,comedy,optimism
268,m0,85,Yeah -- we'll see.,PATRICK,10 things i hate about you,comedy,anger
269,m0,86,What've you got for me?,PATRICK,10 things i hate about you,comedy,sadness
270,m0,86,I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,CAMERON,10 things i hate about you,comedy,anger
271,m0,87,"Okay -- Likes:  Thai food feminist prose and """"angry stinky girl music of the indie-rock persuasion"""".""",CAMERON,10 things i hate about you,comedy,optimism
272,m0,87,So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?,PATRICK,10 things i hate about you,comedy,joy
273,m0,88,Gigglepuss is playing there tomorrow night.,CAMERON,10 things i hate about you,comedy,optimism
274,m0,88,Don't make me do it man,PATRICK,10 things i hate about you,comedy,joy
275,m0,89,Cameron I'm a little busy,PATRICK,10 things i hate about you,comedy,sadness
276,m0,89,It's off. The whole thing.,CAMERON,10 things i hate about you,comedy,joy
277,m0,90,What 're you talking about?,PATRICK,10 things i hate about you,comedy,joy
278,m0,90,She's partial to Joey not me,CAMERON,10 things i hate about you,comedy,optimism
279,m0,91,Cameron -- do you like the girl?,PATRICK,10 things i hate about you,comedy,optimism
280,m0,91,Sure,CAMERON,10 things i hate about you,comedy,optimism
281,m0,91,Then go get her,PATRICK,10 things i hate about you,comedy,joy
282,m0,92,What'd you do to her?,CAMERON,10 things i hate about you,comedy,joy
283,m0,92,I don ' t know.  I decided not to nail her when she was too drunk to remember it.,PATRICK,10 things i hate about you,comedy,sadness
284,m0,93,She hates you with the fire of a thousand suns .  That's a direct quote,CAMERON,10 things i hate about you,comedy,joy
285,m0,93,She just needs time to cool off I'll give it a day.,PATRICK,10 things i hate about you,comedy,anger
286,m0,94,You makin' any headway?,PATRICK,10 things i hate about you,comedy,anger
287,m0,94,She kissed me.,CAMERON,10 things i hate about you,comedy,optimism
288,m0,94,Where?,PATRICK,10 things i hate about you,comedy,optimism
289,m0,95,What's the worst?,PATRICK,10 things i hate about you,comedy,joy
290,m0,95,You get the girl.,CAMERON,10 things i hate about you,comedy,optimism
291,m0,96,The vintage look is over Kat. Haven't you been reading your Sassy?,JOEY,10 things i hate about you,comedy,sadness
292,m0,96,Yeah and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.,KAT,10 things i hate about you,comedy,sadness
293,m0,96,They're running the rest of me next month.,JOEY,10 things i hate about you,comedy,sadness
294,m0,97,Hey -- do you mind?,KAT,10 things i hate about you,comedy,optimism
295,m0,97,Not at all,JOEY,10 things i hate about you,comedy,sadness
